source: en: Keeping the Secret of Genetic Testing second: Giữ bí mật của xét nghiệm di truyền	en: Keeping the Secret of Genetic Testing
source: en: In this case , if one of the family members or close relatives is found to carry genetic risk , it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows . second: Trong trường hợp này, nếu phát hiện một trong những thành viên trong gia đình hoặc người thân có nguy cơ di truyền, bệnh nhân nên nói với người thân của mình về vấn đề này và cho người khác biết về nguy cơ để các thành viên trong gia đình có thể thực hiện một số hành động quá mức hàng ngày để ngăn ngừa bệnh tiềm ẩn hoặc họ có thể đến bệnh viện để kiểm tra dòng chảy.	en: In this case , if one of the family members or close relatives is found to carry genetic risk , it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows .
source: en: In my opinion , although the annouance of carrying a genetic risk involves the issue of self privacy , it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease . second: Theo ý kiến của tôi, mặc dù việc mang một nguy cơ di truyền liên quan đến vấn đề riêng tư của bản thân, nhưng người mang mầm bệnh cần phải có nghĩa vụ nói về vấn đề này với người thân của mình để họ ngăn ngừa căn bệnh tiềm ẩn.	en: In my opinion , although the annouance of carrying a genetic risk involves the issue of self privacy , it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease .
source: en: I agree with this statement to a large extent . second: Tôi đồng ý với tuyên bố này ở một mức độ lớn.	en: I agree with this statement to a large extent .
source: en: Focus on the negative side of the annouance of genetic risk first . second: Tập trung vào mặt tiêu cực của việc huỷ hoại nguy cơ di truyền trước.	en: Focus on the negative side of the annouance of genetic risk first .
source: en: Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease . second: Một số lượng lớn bệnh nhân có nguy cơ di truyền sẽ muốn giữ bí mật vì nguy cơ di truyền có thể cho thấy cơ hội cao mang một số bệnh nhất định.	en: Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease .
source: en: Especially for the young people without marrige , if he/she is known to have some genetic risk , it may have certain chance that his/her child would carry the same disease , but not in certain . second: Đặc biệt đối với những người trẻ tuổi không có marrige. nếu họ được biết là có một số nguy cơ di truyền, có thể có khả năng con của họ cũng mắc bệnh tương tự, nhưng không chắc chắn.	en: Especially for the young people without marrige , if he/she is known to have some genetic risk , it may have certain chance that his/her child would carry the same disease , but not in certain .
source: en: Therefore , to keep the information as secret to his/her future spouce would help the relationship . second: Vì vậy, việc giữ bí mật thông tin cho người bạn đời tương lai sẽ giúp ích cho mối quan hệ.	en: Therefore , to keep the information as secret to his/her future spouce would help the relationship .
source: en: Secondly , annouance the potential risk would cause the family member to be scared of this certain issue , although the factor would not be that serious , people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease , and this creats unnecessary costs to the family . second: Thứ hai, việc loại bỏ nguy cơ tiềm ẩn sẽ khiến cho người thân trong gia đình sợ hãi về vấn đề này, mặc dù yếu tố này không nghiêm trọng đến thế, mọi người vẫn sợ rằng họ sẽ mắc một số bệnh tiềm ẩn trong tương lai, do đó phải đến bệnh viện và kiểm tra thêm hoặc uống thêm thuốc để ngăn ngừa bệnh, và điều này sẽ tạo ra những chi phí không cần thiết cho gia đình.	en: Secondly , annouance the potential risk would cause the family member to be scared of this certain issue , although the factor would not be that serious , people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease , and this creats unnecessary costs to the family .
source: en: Furthermore , the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease . second: Hơn nữa, sự xuất hiện của nguy cơ di truyền sẽ ảnh hưởng đến mối quan hệ với người thân vì đôi khi những người khác có thể nghĩ rằng không nên ở quá gần người mang mầm bệnh để họ có ít cơ hội mắc bệnh tiềm ẩn hơn.	en: Furthermore , the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease .
source: en: On the other hand , if the genetic risk is kept as a secret , although it may benefit the carrier to a certain extend and help to keep the privacy , but it has much larger negative impacts to the family members and relatives . second: Mặt khác, nếu nguy cơ di truyền được giữ bí mật, mặc dù nó có thể có lợi cho người mang mầm bệnh trong một phạm vi nhất định và giúp giữ sự riêng tư, nhưng nó có tác động tiêu cực lớn hơn nhiều đối với các thành viên trong gia đình và người thân.	en: On the other hand , if the genetic risk is kept as a secret , although it may benefit the carrier to a certain extend and help to keep the privacy , but it has much larger negative impacts to the family members and relatives .
source: en: First , for the case of marrige , people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings . second: Đầu tiên, đối với bệnh giun tóc, mọi người nên trung thực và nói với cây mì của mình rằng chúng có thể mang một số nguy cơ di truyền có thể ảnh hưởng đến con của họ.	en: First , for the case of marrige , people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings .
source: en: It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found . second: Tốt hơn hết là bạn nên cho đối phương biết sự thật thay vì sau khi đứa bé ra đời và một loại bệnh di truyền nào đó được tìm thấy.	en: It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found .
source: en: It is better for both parties to be honest . second: Thành thật với nhau sẽ tốt hơn cho cả hai bên.	en: It is better for both parties to be honest .
source: en: Secondly , genetic disease has a close relationship with the born gene together with their daily habits . second: Thứ hai, bệnh di truyền có mối quan hệ mật thiết với gen sinh ra cùng với thói quen sinh hoạt hàng ngày của chúng.	en: Secondly , genetic disease has a close relationship with the born gene together with their daily habits .
source: en: For example , if a carrier is told that he/she has the risk to have diabetes . second: Ví dụ, nếu người mang mầm bệnh được thông báo rằng họ có nguy cơ mắc bệnh tiểu đường.	en: For example , if a carrier is told that he/she has the risk to have diabetes .
source: en: In this case , the carrier can eat less candies and chocolates to prevent intake to much sugars , and at the same time , if the carrier tell this information to the relatives , it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease . second: Trong trường hợp này, người mang mầm bệnh có thể ăn ít kẹo và sôcôla hơn để tránh tiêu thụ quá nhiều đường, đồng thời, nếu người mang mầm bệnh nói với người thân của họ thông tin này, họ sẽ biết rằng họ có thể bị tiểu đường trong tương lai do có gen liên quan và họ có thể thực hiện cùng một bài tập để ăn ít đường hơn để ngăn ngừa bệnh.	en: In this case , the carrier can eat less candies and chocolates to prevent intake to much sugars , and at the same time , if the carrier tell this information to the relatives , it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease .
source: en: Otherwise , if the other parties did not know , they may end up with to have diabete in the future without any prevention . second: Nếu không, nếu các bên khác không biết, họ có thể bị tiểu đường trong tương lai mà không có biện pháp phòng ngừa nào.	en: Otherwise , if the other parties did not know , they may end up with to have diabete in the future without any prevention .
source: en: In conclusion , we could tell the benefits of telling genetic risk to the carriers relatives overweights the costs . second: Tóm lại, chúng ta có thể nói lợi ích của việc nói ra nguy cơ di truyền cho người mang mầm bệnh có quan hệ họ hàng sẽ làm tăng chi phí.	en: In conclusion , we could tell the benefits of telling genetic risk to the carriers relatives overweights the costs .
source: en: Therefore , it would be better for the carrier to be obligated to tell the information to the relatives , in order to let them know and prevent the potential disease through daily exercises . second: Vì vậy, tốt hơn hết người vận chuyển phải thông báo cho người thân biết để họ biết và ngăn ngừa bệnh tật tiềm ẩn thông qua các bài tập hàng ngày.	en: Therefore , it would be better for the carrier to be obligated to tell the information to the relatives , in order to let them know and prevent the potential disease through daily exercises .
source: en: Among all kinds of different diseases , a large amount of different kinds of disorders are caused by genetic reasons . second: Trong số tất cả các loại bệnh khác nhau, một số lượng lớn các rối loạn khác nhau là do các nguyên nhân di truyền.	en: Among all kinds of different diseases , a large amount of different kinds of disorders are caused by genetic reasons .
source: en: Genetic disorder may or may not be hirataged hereditary disease and it is sometimes hard to find out one has these kinds of diseases . second: Rối loạn di truyền có thể hoặc không phải là bệnh di truyền và đôi khi rất khó để tìm ra một người mắc các loại bệnh này.	en: Genetic disorder may or may not be hirataged hereditary disease and it is sometimes hard to find out one has these kinds of diseases .
source: en: It is a long time discussion that whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene . second: Có một cuộc thảo luận kéo dài rằng liệu một người mang mầm bệnh di truyền đã biết có phải nói với người thân của mình rằng bệnh của họ là do gen gây ra hay không.	en: It is a long time discussion that whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene .
source: en: From the legal aspect , the answer is no but from the ethical aspect , the answer should be yes . second: Từ khía cạnh pháp lý, câu trả lời là không, nhưng từ khía cạnh đạo đức, câu trả lời nên là có.	en: From the legal aspect , the answer is no but from the ethical aspect , the answer should be yes .
source: en: We ca n't make a law to push a carrier of a known genetic risk to tell his or her relatives about his genetic problem . second: Chúng ta không thể ra luật buộc người mang mầm bệnh di truyền phải nói với người thân của anh ta hay cô ta về vấn đề di truyền của anh ta.	en: We ca n't make a law to push a carrier of a known genetic risk to tell his or her relatives about his genetic problem .
source: en: It is immoral and impractical . second: Nó vô đạo đức và không thực tế.	en: It is immoral and impractical .
source: en: Firstly , someone having what kinds of disease belongs to his or her privacy . second: Đầu tiên, một người mắc bệnh nào đó thuộc về sự riêng tư của họ.	en: Firstly , someone having what kinds of disease belongs to his or her privacy .
source: en: Privicy protection belongs to one 's human rights . second: Bảo vệ tư nhân thuộc về nhân quyền.	en: Privicy protection belongs to one 's human rights .
source: en: If a law requires someone to tell others ' his or her privacy especially when the one is not willing to do so . second: Nếu luật pháp yêu cầu ai đó nói với người khác về sự riêng tư của họ, đặc biệt khi người đó không sẵn sàng làm như vậy.	en: If a law requires someone to tell others ' his or her privacy especially when the one is not willing to do so .
source: en: It is againt his or her human rights and it is against the law 's spirit . second: Đó lại là quyền con người của anh ta hay cô ta và nó trái với tinh thần của luật pháp.	en: It is againt his or her human rights and it is against the law 's spirit .
source: en: The law 's spirit also include the fairness . second: Tinh thần của luật pháp cũng bao gồm sự công bằng.	en: The law 's spirit also include the fairness .
source: en: What is the basic difference between genetic disorder and other disorders . second: Sự khác biệt cơ bản giữa rối loạn di truyền và các rối loạn khác là gì?	en: What is the basic difference between genetic disorder and other disorders .
source: en: It is unfair to release a law only point to the genetic disorder . second: Thật không công bằng khi ban hành một đạo luật chỉ để chỉ ra sự rối loạn di truyền.	en: It is unfair to release a law only point to the genetic disorder .
source: en: In addition , it is impractical to make such a law . second: Ngoài ra, việc xây dựng một đạo luật như vậy là không thực tế.	en: In addition , it is impractical to make such a law .
source: en: A good law should be clear and easy to execute . second: Một đạo luật tốt phải rõ ràng và dễ thực thi.	en: A good law should be clear and easy to execute .
source: en: However , there are many problems againt the execution of asking a carrier to tell his or her ralatives the cause of his or her diseases . second: Tuy nhiên, có nhiều vấn đề một lần nữa khi thực hiện yêu cầu người mang mầm bệnh nói cho thuốc an thần của họ biết nguyên nhân gây bệnh của họ.	en: However , there are many problems againt the execution of asking a carrier to tell his or her ralatives the cause of his or her diseases .
source: en: Firstly , what is the range of the relatives ? second: Đầu tiên, phạm vi của các họ hàng là gì?	en: Firstly , what is the range of the relatives ?
source: en: For example , does the carrier only need to tell his or her direct relatives like parents and brothers and sisters or does he also need to tell relatives like his grandmother 's sister 's son 's daughter 's nephew ? second: Ví dụ: người vận chuyển chỉ cần nói với người thân trực tiếp của mình như cha mẹ, anh chị em ruột hay cũng cần phải nói với người thân như cháu trai của con trai chị gái của bà?	en: For example , does the carrier only need to tell his or her direct relatives like parents and brothers and sisters or does he also need to tell relatives like his grandmother 's sister 's son 's daughter 's nephew ?
source: en: If you say only need to tell direct relatives , it will be against the fairness of law . second: Nếu anh nói chỉ cần nói với người thân trực tiếp, thì sẽ là trái với sự công bằng của pháp luật.	en: If you say only need to tell direct relatives , it will be against the fairness of law .
source: en: Other relatives may have the same possibilities to have such kind of disease . second: Những người thân khác cũng có thể có khả năng mắc loại bệnh này.	en: Other relatives may have the same possibilities to have such kind of disease .
source: en: How can a law made by government exempt such a group of people from preparing to face their potetial disease ? second: Làm thế nào một đạo luật do chính phủ ban hành có thể miễn trừ cho một nhóm người như vậy khỏi việc chuẩn bị đối mặt với căn bệnh nghiện thuốc của họ?	en: How can a law made by government exempt such a group of people from preparing to face their potetial disease ?
source: en: However , from the ethical point of view . second: Tuy nhiên, theo quan điểm đạo đức.	en: However , from the ethical point of view .
source: en: To the carrier himself of herself , he of she should have a feeling of resposiblity to tell his or her relatives their genetic disorder . second: Đối với người mang mầm bệnh, người mang mầm bệnh phải có cảm giác được báo cho người thân của mình biết về căn bệnh di truyền của họ.	en: To the carrier himself of herself , he of she should have a feeling of resposiblity to tell his or her relatives their genetic disorder .
source: en: By doing this ,they may be able to save some lives of their relatives . second: Bằng cách này, họ có thể cứu được một số người thân của họ.	en: By doing this ,they may be able to save some lives of their relatives .
source: en: It is because a carrier with bad gene may not necessary have those genetic disease , if they can have coresponding healthy lifestyle before the age that the gene 's function become stronger . second: Vì người mang gen xấu không nhất thiết phải mắc các bệnh di truyền đó, nếu họ có lối sống lành mạnh trước tuổi thì chức năng của gen sẽ trở nên mạnh hơn.	en: It is because a carrier with bad gene may not necessary have those genetic disease , if they can have coresponding healthy lifestyle before the age that the gene 's function become stronger .
source: en: A typical example is genetic caused hypertension . second: Một ví dụ điển hình là do di truyền gây tăng huyết áp.	en: A typical example is genetic caused hypertension .
source: en: Hypertension can be caused by genetic problems which make the carrier harder to digest the fat and salt in blood which can cause hypertension . second: Tăng huyết áp có thể do các vấn đề về di truyền khiến người mang mầm bệnh khó tiêu hoá chất béo và muối trong máu, là những yếu tố gây tăng huyết áp.	en: Hypertension can be caused by genetic problems which make the carrier harder to digest the fat and salt in blood which can cause hypertension .
source: en: People usually get this kind of hypertesion after they become adult . second: Người ta thường bị phì đại sau khi trưởng thành.	en: People usually get this kind of hypertesion after they become adult .
source: en: However , if they already know they have a gene that may make them have higher possibilities to get hypertention . second: Tuy nhiên, nếu cá đã biết mình có gen khiến chúng có khả năng bị tăng sản.	en: However , if they already know they have a gene that may make them have higher possibilities to get hypertention .
